"Helység.megnevezése";"IRSZ";"Településrész";"Helység.KSH kódja";"Helység.jogállása";"Megye.megnevezése.";"Járás.kódja";"Járás.neve";"Járás.székhelye";"Közös.önkormányzati.hivatal.kódja";"Közös.önkormányzati.hivatal.székhelye";"Terület...hektár.";"Lakó.népesség";"Lakások.száma";"Becsült.terület.adatokkal";"Nemzetiségi.önkormányzat.bolgár";"Nemzetiségi.önkormányzat.görög";"Nemzetiségi.önkormányzat.horvát";"Nemzetiségi.önkormányzat.lengyel";"Nemzetiségi.önkormányzat.német";"Nemzetiségi.önkormányzat.örmény";"Nemzetiségi.önkormányzat.roma";"Nemzetiségi.önkormányzat.román";"Nemzetiségi.önkormányzat.ruszin";"Nemzetiségi.önkormányzat.szerb";"Nemzetiségi.önkormányzat.szlovák";"Nemzetiségi.önkormányzat.szlovén";"Nemzetiségi.önkormányzat.ukrán"
"Bácsalmás";6430;NA;"10719";"város";"Bács-Kiskun";"034 1";"Bácsalmási";"Bácsalmás";"2";"Helyben – Locally";10832;6496;3133;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Bácsbokod";6453;NA;"10180";"nagyközség";"Bács-Kiskun";"034 0";"Bácsalmási";"Bácsalmás";"1";"–";6393;2499;1219;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Bácsborsód";6454;NA;"27234";"község";"Bács-Kiskun";"034 0";"Bácsalmási";"Bácsalmás";"6";"Katymár";7752;1115;416;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Bácsszentgyörgy";6511;NA;"08697";"község";"Bács-Kiskun";"035 0";"Bajai";"Baja";"6";"Gara";1474;150;96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bácsszõlõs";6425;NA;"30155";"község";"Bács-Kiskun";"034 0";"Bácsalmási";"Bácsalmás";"6";"Bácsalmás";3883;355;225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Badacsonytomaj";8261;"Badacsony";"22327";"város";"Veszprém";"189 0";"Tapolcai";"Tapolca";"2";"Helyben – Locally";3271;2077;1081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Badacsonytomaj";8257;"Badacsonyörs";"22327";"város";"Veszprém";"189 0";"Tapolcai";"Tapolca";"2";"Helyben – Locally";3271;2077;1081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Badacsonytomaj";8258;NA;"22327";"város";"Veszprém";"189 0";"Tapolcai";"Tapolca";"2";"Helyben – Locally";3271;2077;1081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Badacsonytördemic";8263;NA;"03267";"község";"Veszprém";"189 0";"Tapolcai";"Tapolca";"5";"Szigliget";1025;888;451;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bag";2191;NA;"09131";"nagyközség";"Pest";"122 0";"Aszódi";"Aszód";"1";"–";2355;3596;1340;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Bagamér";4286;NA;"20011";"nagyközség";"Hajdú-Bihar";"101 0";"Nyíradonyi";"Nyíradony";"1";"–";4702;2526;970;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Baglad";8977;NA;"11059";"község";"Zala";"194 0";"Lenti";"Lenti";"6";"Rédics";486;34;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bagod";8992;NA;"30368";"község";"Zala";"197 0";"Zalaegerszegi";"Zalaegerszeg";"2";"Helyben – Locally";1637;1240;465;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bágyogszovát";9145;NA;"28769";"község";"Gyõr-Moson-Sopron";"086 0";"Csornai";"Csorna";"2";"Helyben – Locally";2406;1284;547;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Baj";2836;NA;"29212";"község";"Komárom-Esztergom";"114 0";"Tatai";"Tata";"1";"–";2112;2854;1068;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Baja";6500;NA;"03522";"város";"Bács-Kiskun";"035 1";"Bajai";"Baja";"1";"–";17790;35411;16998;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;"1";NA;NA;NA
"Baja";6503;"Bajaszentistván";"03522";"város";"Bács-Kiskun";"035 1";"Bajai";"Baja";"1";"–";17790;35411;16998;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;"1";NA;NA;NA
"Bajánsenye";9944;NA;"17020";"község";"Vas";"177 0";"Körmendi";"Körmend";"6";"Õriszentpéter";2185;482;243;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bajna";2525;NA;"16744";"község";"Komárom-Esztergom";"110 0";"Esztergomi";"Esztergom";"2";"Helyben – Locally";3727;1899;780;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bajót";2533;NA;"29355";"község";"Komárom-Esztergom";"110 0";"Esztergomi";"Esztergom";"2";"Helyben – Locally";1644;1596;559;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Bak";8945;NA;"04738";"község";"Zala";"197 0";"Zalaegerszegi";"Zalaegerszeg";"2";"Helyben – Locally";2305;1584;584;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bakháza";7585;NA;"14395";"község";"Somogy";"145 0";"Nagyatádi";"Nagyatád";"6";"Kutas";592;179;85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bakóca";7393;NA;"22275";"község";"Baranya";"025 0";"Hegyháti";"Sásd";"6";"Mindszentgodisa";1065;268;134;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Bakonszeg";4164;NA;"15167";"község";"Hajdú-Bihar";"094 0";"Berettyóújfalui";"Berettyóújfalu";"6";"Furta";3503;1190;572;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bakonya";7675;NA;"08299";"község";"Baranya";"028 0";"Pécsi";"Pécs";"6";"Kõvágószõlõs";1507;322;142;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Bakonybánk";2885;NA;"24244";"község";"Komárom-Esztergom";"111 0";"Kisbéri";"Kisbér";"6";"Réde";1506;434;216;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bakonybél";8427;NA;"23746";"község";"Veszprém";"192 0";"Zirci";"Zirc";"2";"Helyben – Locally";2436;1219;569;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bakonycsernye";8056;NA;"08730";"község";"Fejér";"082 0";"Móri";"Mór";"2";"Helyben – Locally";3813;2952;1211;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"Bakonygyirót";8433;NA;"28936";"község";"Gyõr-Moson-Sopron";"090 0";"Pannonhalmi";"Pannonhalma";"6";"Bakonyszentlászló";685;133;117;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bakonyjákó";8581;NA;"29513";"község";"Veszprém";"187 0";"Pápai";"Pápa";"6";"Adásztevel";4718;650;258;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Bakonykoppány";8571;NA;"07287";"község";"Veszprém";"187 0";"Pápai";"Pápa";"6";"Ugod";683;195;116;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Bakonykúti";8046;NA;"23153";"község";"Fejér";"085 0";"Székesfehérvári";"Székesfehérvár";"6";"Iszkaszentgyörgy";1245;139;75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bakonynána";8422;NA;"25991";"község";"Veszprém";"192 0";"Zirci";"Zirc";"5";"Bakonyszentkirály";1493;1034;381;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Bakonyoszlop";8418;NA;"30410";"község";"Veszprém";"192 0";"Zirci";"Zirc";"6";"Bakonyszentkirály";1420;418;206;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Bakonypéterd";9088;NA;"22062";"község";"Gyõr-Moson-Sopron";"090 0";"Pannonhalmi";"Pannonhalma";"5";"Bakonyszentlászló";1002;271;126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bakonypölöske";8457;NA;"06327";"község";"Veszprém";"187 0";"Pápai";"Pápa";"6";"Pápakovácsi";1104;378;163;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Bakonyság";8557;NA;"29902";"község";"Veszprém";"187 0";"Pápai";"Pápa";"6";"Ugod";856;49;55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bakonysárkány";2861;NA;"25229";"község";"Komárom-Esztergom";"111 0";"Kisbéri";"Kisbér";"5";"Császár";1412;967;396;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Bakonyszentiván";8557;NA;"23922";"község";"Veszprém";"187 0";"Pápai";"Pápa";"6";"Pápateszér";914;221;103;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Bakonyszentkirály";8430;NA;"22813";"község";"Veszprém";"192 0";"Zirci";"Zirc";"2";"Helyben – Locally";2790;824;381;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bakonyszentlászló";8431;NA;"05944";"község";"Gyõr-Moson-Sopron";"090 0";"Pannonhalmi";"Pannonhalma";"2";"Helyben – Locally";3851;1758;778;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Bakonyszombathely";2884;NA;"22381";"község";"Komárom-Esztergom";"111 0";"Kisbéri";"Kisbér";"2";"Helyben – Locally";3652;1425;602;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bakonyszücs";8572;NA;"26417";"község";"Veszprém";"187 0";"Pápai";"Pápa";"6";"Ugod";3521;299;153;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Bakonytamási";8555;NA;"24129";"község";"Veszprém";"187 0";"Pápai";"Pápa";"6";"Csót";2049;601;271;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Baks";6768;NA;"29106";"község";"Csongrád";"072 0";"Kisteleki";"Kistelek";"1";"–";6192;1956;868;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Baksa";7834;NA;"03975";"község";"Baranya";"030 0";"Sellyei";"Sellye";"2";"Helyben – Locally";1382;754;277;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Baktakék";3836;NA;"18184";"község";"Borsod-Abaúj-Zemplén";"056 0";"Encsi";"Encs";"6";"Szalaszend";1879;731;282;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Baktalórántháza";4561;NA;"02325";"város";"Szabolcs-Szatmár-Bereg";"148 1";"Baktalórántházai";"Baktalórántháza";"2";"Helyben – Locally";3524;3954;1174;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Baktüttös";8946;NA;"15097";"község";"Zala";"197 0";"Zalaegerszegi";"Zalaegerszeg";"6";"Söjtör";971;333;144;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balajt";3780;NA;"22521";"község";"Borsod-Abaúj-Zemplén";"055 0";"Edelényi";"Edelény";"6";"Szendrõlád";903;489;148;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balassagyarmat";2660;NA;"13657";"város";"Nógrád";"116 1";"Balassagyarmati";"Balassagyarmat";"2";"Helyben – Locally";2333;15280;6718;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Balástya";6764;NA;"23676";"község";"Csongrád";"072 0";"Kisteleki";"Kistelek";"1";"–";11000;3445;1894;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balaton";3347;NA;"11527";"község";"Heves";"103 0";"Bélapátfalvai";"Bélapátfalva";"2";"Helyben – Locally";1320;1033;447;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonakali";8243;NA;"25308";"község";"Veszprém";"185 0";"Balatonfüredi";"Balatonfüred";"6";"Tihany";3620;624;342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonakarattya";8172;NA;"34421";"község";"Veszprém";"184 0";"Balatonalmádi";"Balatonalmádi";"6";"Balatonfõkajár";2139;831;468;"*";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonalmádi";8220;" ";"05838";"város";"Veszprém";"184 1";"Balatonalmádi";"Balatonalmádi";"2";"Helyben – Locally";4988;8564;4300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonberény";8649;NA;"27377";"község";"Somogy";"144 0";"Marcali";"Marcali";"6";"Balatonkeresztúr";2609;1087;651;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonboglár";8630;NA;"33853";"város";"Somogy";"142 0";"Fonyódi";"Fonyód";"2";"Helyben – Locally";3204;5673;2799;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonboglár";8691;"Szõlõskislak";"33853";"város";"Somogy";"142 0";"Fonyódi";"Fonyód";"2";"Helyben – Locally";3204;5673;2799;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatoncsicsó";8272;NA;"03072";"község";"Veszprém";"185 0";"Balatonfüredi";"Balatonfüred";"6";"Zánka";1320;223;108;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Balatonederics";8312;NA;"12238";"község";"Veszprém";"189 0";"Tapolcai";"Tapolca";"6";"Lesencetomaj";1859;994;458;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonendréd";8613;NA;"19460";"község";"Somogy";"146 0";"Siófoki";"Siófok";"5";"Kõröshegy";4002;1297;581;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonfenyves";8646;NA;"20729";"község";"Somogy";"142 0";"Fonyódi";"Fonyód";"1";"–";5193;1803;1152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonfõkajár";8164;NA;"29461";"község";"Veszprém";"184 0";"Balatonalmádi";"Balatonalmádi";"2";"Helyben – Locally";2192;1291;533;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonföldvár";8623;NA;"07117";"város";"Somogy";"146 0";"Siófoki";"Siófok";"2";"Helyben – Locally";1532;2150;1175;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonfüred";8230;NA;"21175";"város";"Veszprém";"185 1";"Balatonfüredi";"Balatonfüred";"2";"Helyben – Locally";4645;13082;6179;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonfûzfõ";8175;NA;"02219";"város";"Veszprém";"184 0";"Balatonalmádi";"Balatonalmádi";"2";"Helyben – Locally";925;4084;2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonfûzfõ";8184;"Fûzfõgyártelep";"02219";"város";"Veszprém";"184 0";"Balatonalmádi";"Balatonalmádi";"2";"Helyben – Locally";925;4084;2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatongyörök";8313;NA;"17002";"község";"Zala";"193 0";"Keszthelyi";"Keszthely";"6";"Vonyarcvashegy";3759;1020;537;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonhenye";8275;NA;"03638";"község";"Veszprém";"189 0";"Tapolcai";"Tapolca";"6";"Kõvágóörs";1173;130;62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonkenese";8174;NA;"05148";"város";"Veszprém";"184 0";"Balatonalmádi";"Balatonalmádi";"1";"–";4418;2554;1186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonkeresztúr";8648;NA;"07375";"község";"Somogy";"144 0";"Marcali";"Marcali";"2";"Helyben – Locally";2106;1471;740;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonlelle";8638;NA;"33862";"város";"Somogy";"142 0";"Fonyódi";"Fonyód";"1";"–";4323;5235;2793;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonmagyaród";8753;NA;"26462";"község";"Zala";"196 0";"Nagykanizsai";"Nagykanizsa";"6";"Zalakomár";3153;407;259;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonmáriafürdõ";8647;NA;"14562";"község";"Somogy";"144 0";"Marcali";"Marcali";"6";"Balatonkeresztúr";2677;694;362;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonõszöd";8637;NA;"11916";"község";"Somogy";"146 0";"Siófoki";"Siófok";"6";"Balatonszemes";1508;479;411;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonrendes";8255;NA;"33844";"község";"Veszprém";"189 0";"Tapolcai";"Tapolca";"5";"Kõvágóörs";676;124;85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonszabadi";8651;NA;"16601";"község";"Somogy";"146 0";"Siófoki";"Siófok";"1";"–";4134;2951;1186;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonszárszó";8624;NA;"24907";"nagyközség";"Somogy";"146 0";"Siófoki";"Siófok";"2";"Helyben – Locally";3013;1961;941;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonszemes";8636;NA;"22822";"község";"Somogy";"146 0";"Siófoki";"Siófok";"2";"Helyben – Locally";3602;1743;983;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonszentgyörgy";8710;NA;"21324";"község";"Somogy";"144 0";"Marcali";"Marcali";"2";"Helyben – Locally";2368;1556;729;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonszepezd";8252;NA;"17154";"község";"Veszprém";"185 0";"Balatonfüredi";"Balatonfüred";"6";"Zánka";2506;377;210;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonszõlõs";8233;NA;"28501";"község";"Veszprém";"185 0";"Balatonfüredi";"Balatonfüred";"6";"Balatonfüred";1281;634;221;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonudvari";8242;NA;"15565";"község";"Veszprém";"185 0";"Balatonfüredi";"Balatonfüred";"6";"Tihany";1880;301;174;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonújlak";8712;NA;"16470";"község";"Somogy";"144 0";"Marcali";"Marcali";"6";"Kéthely";1081;458;263;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balatonvilágos";8171;NA;"03559";"község";"Somogy";"146 0";"Siófoki";"Siófok";"6";"Siófok";2921;1158;612;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balinka";8054;"Eszény";"31103";"község";"Fejér";"082 0";"Móri";"Mór";"5";"Bakonycsernye";1862;902;377;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Balinka";8055;NA;"31103";"község";"Fejér";"082 0";"Móri";"Mór";"5";"Bakonycsernye";1862;902;377;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Balkány";4233;NA;"26958";"város";"Szabolcs-Szatmár-Bereg";"155 0";"Nagykállói";"Nagykálló";"1";"–";9000;6413;2460;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Ballószög";6035;NA;"13408";"község";"Bács-Kiskun";"038 0";"Kecskeméti";"Kecskemét";"1";"–";3500;3504;1164;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balmazújváros";4060;NA;"02918";"város";"Hajdú-Bihar";"093 1";"Balmazújvárosi";"Balmazújváros";"2";"Helyben – Locally";20544;17421;6803;NA;NA;NA;NA;NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Balogunyom";9771;NA;"05102";"község";"Vas";"181 0";"Szombathelyi";"Szombathely";"2";"Helyben – Locally";1212;1120;419;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Balotaszállás";6412;NA;"25937";"község";"Bács-Kiskun";"041 0";"Kiskunhalasi";"Kiskunhalas";"2";"Helyben – Locally";10494;1492;729;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Balsa";4468;NA;"15963";"község";"Szabolcs-Szatmár-Bereg";"151 0";"Ibrányi";"Ibrány";"6";"Tiszabercel";2252;842;417;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Bálványos";8614;NA;"24457";"község";"Somogy";"146 0";"Siófoki";"Siófok";"5";"Balatonföldvár";2369;539;264;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bana";2944;NA;"31422";"község";"Komárom-Esztergom";"112 0";"Komáromi";"Komárom";"5";"Bábolna";2511;1633;571;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Bánd";8443;NA;"14173";"község";"Veszprém";"191 0";"Veszprémi";"Veszprém";"6";"Márkó";984;660;245;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Bánfa";7914;NA;"07603";"község";"Baranya";"033 0";"Szigetvári";"Szigetvár";"5";"Dencsháza";1206;161;81;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bánhorváti";3642;NA;"25159";"község";"Borsod-Abaúj-Zemplén";"058 0";"Kazincbarcikai";"Kazincbarcika";"2";"Helyben – Locally";2848;1364;579;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bánk";2653;NA;"24341";"község";"Nógrád";"119 0";"Rétsági";"Rétság";"6";"Borsosberény";990;652;304;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA
"Bánokszentgyörgy";8891;NA;"08439";"község";"Zala";"195 0";"Letenyei";"Letenye";"2";"Helyben – Locally";3254;618;290;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Bánréve";3654;NA;"21953";"község";"Borsod-Abaúj-Zemplén";"063 0";"Putnoki";"Putnok";"5";"Serényfalva";662;1310;543;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Bár";7711;NA;"24378";"község";"Baranya";"027 0";"Mohácsi";"Mohács";"5";"Dunaszekcsõ";900;530;237;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA;NA;NA
"Barabás";4937;NA;"26480";"község";"Szabolcs-Szatmár-Bereg";"159 0";"Vásárosnaményi";"Vásárosnamény";"6";"Tiszakerecseny";3819;1039;382;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Baracs";2426;NA;"07047";"község";"Fejér";"078 0";"Dunaújvárosi";"Dunaújváros";"2";"Helyben – Locally";5518;3383;1378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Baracs";2427;"Apátszállás";"07047";"község";"Fejér";"078 0";"Dunaújvárosi";"Dunaújváros";"2";"Helyben – Locally";5518;3383;1378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Baracska";2471;NA;"08581";"község";"Fejér";"081 0";"Martonvásári";"Martonvásár";"1";"–";3968;2679;1056;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Báránd";4161;NA;"26693";"község";"Hajdú-Bihar";"102 0";"Püspökladányi";"Püspökladány";"2";"Helyben – Locally";4257;2549;1148;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Baranyahídvég";7841;NA;"20464";"község";"Baranya";"030 0";"Sellyei";"Sellye";"6";"Baksa";849;176;73;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Baranyajenõ";7384;NA;"24749";"község";"Baranya";"025 0";"Hegyháti";"Sásd";"5";"Mindszentgodisa";1555;417;158;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Baranyaszentgyörgy";7383;NA;"05485";"község";"Baranya";"025 0";"Hegyháti";"Sásd";"6";"Sásd";727;149;76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Barbacs";9169;NA;"06196";"község";"Gyõr-Moson-Sopron";"086 0";"Csornai";"Csorna";"6";"Kóny";1365;752;314;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Barcs";7557;"Somogytarnóca";"32799";"város";"Somogy";"140 1";"Barcsi";"Barcs";"1";"–";12290;10698;4536;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Barcs";7570;NA;"32799";"város";"Somogy";"140 1";"Barcsi";"Barcs";"1";"–";12290;10698;4536;NA;NA;NA;"1";NA;"1";NA;"1";NA;NA;NA;NA;NA;NA
"Bárdudvarnok";7478;NA;"03735";"község";"Somogy";"143 0";"Kaposvári";"Kaposvár";"2";"Helyben – Locally";4856;1110;511;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Barlahida";8948;NA;"27447";"község";"Zala";"194 0";"Lenti";"Lenti";"6";"Csömödér";610;108;86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bárna";3126;NA;"20048";"község";"Nógrád";"120 0";"Salgótarjáni";"Salgótarján";"5";"Mátraszele";1539;1032;457;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA;NA;NA
"Barnag";8291;NA;"15778";"község";"Veszprém";"191 0";"Veszprémi";"Veszprém";"6";"Tótvázsony";1201;124;73;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bársonyos";2883;NA;"08624";"község";"Komárom-Esztergom";"111 0";"Kisbéri";"Kisbér";"6";"Réde";1687;752;298;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Basal";7923;NA;"15495";"község";"Baranya";"033 0";"Szigetvári";"Szigetvár";"6";"Nagypeterd";404;152;78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Baskó";3881;NA;"08846";"község";"Borsod-Abaúj-Zemplén";"057 0";"Gönci";"Gönc";"6";"Abaújszántó";2964;170;91;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1";NA;NA;NA;NA
